dataset,scenario,structure,percentage
linear,Incorrect,x1_to_x2,0.62
linear,Incorrect,x2_to_x1,63.81
linear,Incorrect,independent,35.57
linear,Noninformative,x1_to_x2,28.02
linear,Noninformative,x2_to_x1,25.47
linear,Noninformative,independent,46.51
linear,Correct,x1_to_x2,64.51
linear,Correct,x2_to_x1,0.88
linear,Correct,independent,34.61
nonlinear,Incorrect,x1_to_x2,1.22
nonlinear,Incorrect,x2_to_x1,38.33
nonlinear,Incorrect,independent,60.45
nonlinear,Noninformative,x1_to_x2,28.04
nonlinear,Noninformative,x2_to_x1,18.47
nonlinear,Noninformative,independent,53.49
nonlinear,Correct,x1_to_x2,69.25
nonlinear,Correct,x2_to_x1,0.59
nonlinear,Correct,independent,30.16
